household_id,month,household_size,region,income_group,ev_adoption_month,ev_cohort,post_adoption,months_since_adoption,avg_temperature_c,electricity_kwh
H035,2021-01-01,4,Seoul,Low,,,0,,0.77,321.43
H036,2021-01-01,5,Gyeonggi,Low,,,0,,0.77,317.33
H037,2021-01-01,2,Daegu,High,2023-05-01,2023Q2,0,-28,0.77,267.28
H038,2021-01-01,3,Daegu,Low,2022-10-01,2022Q4,0,-21,0.77,254.76
H039,2021-01-01,4,Seoul,Middle,,,0,,0.77,351.93
H040,2021-01-01,4,Gyeonggi,Low,,,0,,0.77,287.45
H041,2021-01-01,4,Seoul,Middle,2024-04-01,2024Q2,0,-39,0.77,258.15
H042,2021-01-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-45,0.77,246.89
H043,2021-01-01,3,Busan,Low,2024-11-01,2024Q4,0,-46,0.77,288.95
H044,2021-01-01,2,Busan,High,,,0,,0.77,230.36
H045,2021-01-01,1,Seoul,Low,,,0,,0.77,273.14
H046,2021-01-01,4,Gyeonggi,Middle,2024-12-01,2024Q4,0,-47,0.77,338.61
H047,2021-01-01,2,Seoul,Middle,2022-05-01,2022Q2,0,-16,0.77,175.05
H048,2021-01-01,1,Seoul,Middle,2023-10-01,2023Q4,0,-33,0.77,185.83
H049,2021-01-01,2,Busan,Low,,,0,,0.77,226.39
H050,2021-01-01,4,Seoul,Low,,,0,,0.77,255.87
H051,2021-01-01,2,Seoul,Middle,2023-09-01,2023Q3,0,-32,0.77,349.83
H052,2021-01-01,4,Seoul,Low,,,0,,0.77,318.24
H053,2021-01-01,3,Gyeonggi,Middle,2022-01-01,2022Q1,0,-12,0.77,313.08
H054,2021-01-01,2,Seoul,High,2022-11-01,2022Q4,0,-22,0.77,278.98
H055,2021-01-01,1,Daegu,High,2022-03-01,2022Q1,0,-14,0.77,235.21
H056,2021-01-01,4,Seoul,Low,,,0,,0.77,222.93
H057,2021-01-01,4,Daegu,High,2024-02-01,2024Q1,0,-37,0.77,341.82
H058,2021-01-01,2,Seoul,High,2023-06-01,2023Q2,0,-29,0.77,247.43
H059,2021-01-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-16,0.77,253.14
H060,2021-01-01,2,Daegu,Middle,,,0,,0.77,230.63
H061,2021-01-01,2,Seoul,Low,,,0,,0.77,220.96
H062,2021-01-01,2,Seoul,Middle,2023-07-01,2023Q3,0,-30,0.77,249.46
H063,2021-01-01,3,Seoul,Middle,,,0,,0.77,247.89
H064,2021-01-01,1,Gyeonggi,Middle,2024-06-01,2024Q2,0,-41,0.77,165.79
H065,2021-01-01,3,Seoul,Middle,2023-12-01,2023Q4,0,-35,0.77,256.37
H066,2021-01-01,2,Gyeonggi,Low,,,0,,0.77,227.61
H067,2021-01-01,2,Gyeonggi,Middle,2023-04-01,2023Q2,0,-27,0.77,259.36
H068,2021-01-01,3,Busan,Middle,,,0,,0.77,342.97
H069,2021-01-01,2,Daegu,High,,,0,,0.77,345.38
H070,2021-01-01,2,Busan,Low,,,0,,0.77,209.28
H071,2021-01-01,2,Busan,Low,2023-10-01,2023Q4,0,-33,0.77,222.32
H072,2021-01-01,4,Seoul,Middle,,,0,,0.77,328.18
H073,2021-01-01,3,Daegu,Middle,2022-07-01,2022Q3,0,-18,0.77,302.69
H074,2021-01-01,2,Daegu,Low,2022-08-01,2022Q3,0,-19,0.77,260.07
H075,2021-01-01,1,Daegu,Middle,,,0,,0.77,246.09
H076,2021-01-01,4,Daegu,High,,,0,,0.77,372.72
H077,2021-01-01,4,Daegu,Middle,2024-08-01,2024Q3,0,-43,0.77,301.89
H078,2021-01-01,3,Busan,Middle,,,0,,0.77,216.25
H079,2021-01-01,2,Busan,Middle,2024-03-01,2024Q1,0,-38,0.77,233.25
H080,2021-01-01,4,Seoul,Middle,2023-07-01,2023Q3,0,-30,0.77,317.92
H081,2021-01-01,1,Daegu,Middle,2024-07-01,2024Q3,0,-42,0.77,202.08
H082,2021-01-01,3,Busan,Low,2023-09-01,2023Q3,0,-32,0.77,201.28
H083,2021-01-01,4,Gyeonggi,Middle,2024-11-01,2024Q4,0,-46,0.77,278.36
H084,2021-01-01,4,Gyeonggi,High,,,0,,0.77,346.43
H085,2021-01-01,5,Seoul,High,2023-03-01,2023Q1,0,-26,0.77,370.86
H086,2021-01-01,4,Gyeonggi,Low,2022-08-01,2022Q3,0,-19,0.77,300.09
H087,2021-01-01,2,Daegu,Low,,,0,,0.77,257.73
H088,2021-01-01,3,Seoul,High,2024-02-01,2024Q1,0,-37,0.77,267.66
H089,2021-01-01,4,Seoul,High,2022-04-01,2022Q2,0,-15,0.77,331.47
H090,2021-01-01,1,Seoul,Middle,2024-05-01,2024Q2,0,-40,0.77,243.65
H091,2021-01-01,4,Gyeonggi,Middle,,,0,,0.77,330.64
H092,2021-01-01,2,Busan,Low,2023-10-01,2023Q4,0,-33,0.77,258.9
H093,2021-01-01,3,Daegu,Middle,,,0,,0.77,241.13
H094,2021-01-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-45,0.77,263.5
H095,2021-01-01,4,Seoul,Middle,,,0,,0.77,329.76
H096,2021-01-01,2,Daegu,High,2023-11-01,2023Q4,0,-34,0.77,227.02
H097,2021-01-01,4,Daegu,Middle,,,0,,0.77,299.63
H098,2021-01-01,2,Daegu,Middle,,,0,,0.77,217.68
H099,2021-01-01,3,Busan,High,,,0,,0.77,290.39
H100,2021-01-01,2,Daegu,Middle,,,0,,0.77,235.67
H101,2021-01-01,2,Daegu,High,,,0,,0.77,292.09
H102,2021-01-01,2,Busan,Middle,,,0,,0.77,180.11
H103,2021-01-01,2,Gyeonggi,Middle,,,0,,0.77,171.0
H104,2021-01-01,3,Daegu,Middle,2023-04-01,2023Q2,0,-27,0.77,265.07
H105,2021-01-01,3,Gyeonggi,Middle,,,0,,0.77,261.17
H106,2021-01-01,3,Busan,Middle,,,0,,0.77,236.35
H107,2021-01-01,2,Gyeonggi,Low,,,0,,0.77,242.62
H108,2021-01-01,4,Gyeonggi,Low,,,0,,0.77,281.92
H109,2021-01-01,2,Busan,High,2023-01-01,2023Q1,0,-24,0.77,259.52
H110,2021-01-01,4,Gyeonggi,Low,,,0,,0.77,263.67
H111,2021-01-01,3,Gyeonggi,Middle,2023-08-01,2023Q3,0,-31,0.77,288.04
H112,2021-01-01,3,Busan,Low,2023-02-01,2023Q1,0,-25,0.77,263.72
H113,2021-01-01,4,Daegu,Middle,2024-05-01,2024Q2,0,-40,0.77,308.73
H114,2021-01-01,1,Gyeonggi,Low,,,0,,0.77,184.66
H115,2021-01-01,3,Gyeonggi,High,2024-07-01,2024Q3,0,-42,0.77,257.22
H116,2021-01-01,2,Seoul,Middle,,,0,,0.77,285.0
H117,2021-01-01,5,Gyeonggi,Middle,2024-02-01,2024Q1,0,-37,0.77,330.09
H118,2021-01-01,2,Daegu,Middle,,,0,,0.77,255.77
H119,2021-01-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-16,0.77,197.61
H120,2021-01-01,4,Gyeonggi,Middle,,,0,,0.77,361.6
H001,2021-02-01,3,Seoul,Middle,2024-09-01,2024Q3,0,-43,-0.28,245.67
H002,2021-02-01,1,Daegu,Low,2022-09-01,2022Q3,0,-19,-0.28,173.19
H003,2021-02-01,3,Gyeonggi,Middle,,,0,,-0.28,292.21
H004,2021-02-01,2,Seoul,High,2023-06-01,2023Q2,0,-28,-0.28,233.0
H005,2021-02-01,2,Gyeonggi,High,2023-10-01,2023Q4,0,-32,-0.28,283.81
H006,2021-02-01,2,Seoul,Middle,,,0,,-0.28,255.09
H007,2021-02-01,5,Daegu,Low,,,0,,-0.28,262.07
H008,2021-02-01,2,Gyeonggi,Middle,2022-05-01,2022Q2,0,-15,-0.28,247.08
H009,2021-02-01,5,Gyeonggi,High,,,0,,-0.28,345.8
H010,2021-02-01,2,Busan,Low,2024-11-01,2024Q4,0,-45,-0.28,219.41
H011,2021-02-01,1,Gyeonggi,Middle,2024-12-01,2024Q4,0,-46,-0.28,189.88
H012,2021-02-01,3,Busan,High,,,0,,-0.28,297.44
H013,2021-02-01,2,Seoul,High,,,0,,-0.28,247.38
H014,2021-02-01,3,Busan,Low,,,0,,-0.28,229.7
H015,2021-02-01,4,Daegu,Low,,,0,,-0.28,298.67
H016,2021-02-01,4,Daegu,High,2022-03-01,2022Q1,0,-13,-0.28,327.74
H017,2021-02-01,3,Seoul,High,2024-07-01,2024Q3,0,-41,-0.28,232.24
H018,2021-02-01,3,Daegu,Middle,,,0,,-0.28,267.61
H019,2021-02-01,3,Seoul,Middle,,,0,,-0.28,283.17
H020,2021-02-01,4,Busan,Low,,,0,,-0.28,338.71
H021,2021-02-01,3,Busan,High,2024-05-01,2024Q2,0,-39,-0.28,251.61
H022,2021-02-01,4,Gyeonggi,Low,,,0,,-0.28,225.22
H023,2021-02-01,3,Seoul,Middle,2023-04-01,2023Q2,0,-26,-0.28,286.06
H024,2021-02-01,1,Seoul,Low,,,0,,-0.28,164.98
H025,2021-02-01,1,Gyeonggi,Low,2024-07-01,2024Q3,0,-41,-0.28,162.52
H026,2021-02-01,5,Gyeonggi,Middle,2024-11-01,2024Q4,0,-45,-0.28,345.89
H027,2021-02-01,2,Daegu,Low,,,0,,-0.28,222.5
H028,2021-02-01,2,Gyeonggi,Low,,,0,,-0.28,213.25
H029,2021-02-01,1,Seoul,High,2024-08-01,2024Q3,0,-42,-0.28,240.13
H030,2021-02-01,2,Gyeonggi,Middle,,,0,,-0.28,232.08
H031,2021-02-01,3,Gyeonggi,High,2023-06-01,2023Q2,0,-28,-0.28,325.12
H032,2021-02-01,3,Daegu,High,2024-11-01,2024Q4,0,-45,-0.28,284.0
H033,2021-02-01,1,Daegu,Middle,2024-08-01,2024Q3,0,-42,-0.28,285.42
H034,2021-02-01,1,Gyeonggi,Low,2022-08-01,2022Q3,0,-18,-0.28,155.7
H035,2021-02-01,4,Seoul,Low,,,0,,-0.28,327.57
H036,2021-02-01,5,Gyeonggi,Low,,,0,,-0.28,291.46
H037,2021-02-01,2,Daegu,High,2023-05-01,2023Q2,0,-27,-0.28,283.7
H038,2021-02-01,3,Daegu,Low,2022-10-01,2022Q4,0,-20,-0.28,276.22
H039,2021-02-01,4,Seoul,Middle,,,0,,-0.28,341.63
H040,2021-02-01,4,Gyeonggi,Low,,,0,,-0.28,280.84
H041,2021-02-01,4,Seoul,Middle,2024-04-01,2024Q2,0,-38,-0.28,271.07
H042,2021-02-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-44,-0.28,205.17
H043,2021-02-01,3,Busan,Low,2024-11-01,2024Q4,0,-45,-0.28,286.85
H044,2021-02-01,2,Busan,High,,,0,,-0.28,245.57
H045,2021-02-01,1,Seoul,Low,,,0,,-0.28,199.95
H046,2021-02-01,4,Gyeonggi,Middle,2024-12-01,2024Q4,0,-46,-0.28,338.47
H047,2021-02-01,2,Seoul,Middle,2022-05-01,2022Q2,0,-15,-0.28,210.27
H048,2021-02-01,1,Seoul,Middle,2023-10-01,2023Q4,0,-32,-0.28,218.51
H049,2021-02-01,2,Busan,Low,,,0,,-0.28,170.83
H050,2021-02-01,4,Seoul,Low,,,0,,-0.28,256.25
H051,2021-02-01,2,Seoul,Middle,2023-09-01,2023Q3,0,-31,-0.28,286.78
H052,2021-02-01,4,Seoul,Low,,,0,,-0.28,339.8
H053,2021-02-01,3,Gyeonggi,Middle,2022-01-01,2022Q1,0,-11,-0.28,308.96
H054,2021-02-01,2,Seoul,High,2022-11-01,2022Q4,0,-21,-0.28,208.98
H055,2021-02-01,1,Daegu,High,2022-03-01,2022Q1,0,-13,-0.28,230.14
H056,2021-02-01,4,Seoul,Low,,,0,,-0.28,289.01
H057,2021-02-01,4,Daegu,High,2024-02-01,2024Q1,0,-36,-0.28,354.23
H058,2021-02-01,2,Seoul,High,2023-06-01,2023Q2,0,-28,-0.28,248.88
H059,2021-02-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-15,-0.28,220.91
H060,2021-02-01,2,Daegu,Middle,,,0,,-0.28,236.94
H061,2021-02-01,2,Seoul,Low,,,0,,-0.28,287.11
H062,2021-02-01,2,Seoul,Middle,2023-07-01,2023Q3,0,-29,-0.28,240.26
H063,2021-02-01,3,Seoul,Middle,,,0,,-0.28,282.67
H064,2021-02-01,1,Gyeonggi,Middle,2024-06-01,2024Q2,0,-40,-0.28,186.44
H065,2021-02-01,3,Seoul,Middle,2023-12-01,2023Q4,0,-34,-0.28,276.53
H066,2021-02-01,2,Gyeonggi,Low,,,0,,-0.28,272.94
H067,2021-02-01,2,Gyeonggi,Middle,2023-04-01,2023Q2,0,-26,-0.28,216.48
H068,2021-02-01,3,Busan,Middle,,,0,,-0.28,311.92
H069,2021-02-01,2,Daegu,High,,,0,,-0.28,273.81
H070,2021-02-01,2,Busan,Low,,,0,,-0.28,192.96
H071,2021-02-01,2,Busan,Low,2023-10-01,2023Q4,0,-32,-0.28,222.76
H072,2021-02-01,4,Seoul,Middle,,,0,,-0.28,347.26
H073,2021-02-01,3,Daegu,Middle,2022-07-01,2022Q3,0,-17,-0.28,273.89
H074,2021-02-01,2,Daegu,Low,2022-08-01,2022Q3,0,-18,-0.28,281.83
H075,2021-02-01,1,Daegu,Middle,,,0,,-0.28,221.2
H076,2021-02-01,4,Daegu,High,,,0,,-0.28,310.86
H077,2021-02-01,4,Daegu,Middle,2024-08-01,2024Q3,0,-42,-0.28,265.48
H078,2021-02-01,3,Busan,Middle,,,0,,-0.28,203.44
H079,2021-02-01,2,Busan,Middle,2024-03-01,2024Q1,0,-37,-0.28,239.68
H080,2021-02-01,4,Seoul,Middle,2023-07-01,2023Q3,0,-29,-0.28,292.33
H081,2021-02-01,1,Daegu,Middle,2024-07-01,2024Q3,0,-41,-0.28,250.68
H082,2021-02-01,3,Busan,Low,2023-09-01,2023Q3,0,-31,-0.28,191.64
H083,2021-02-01,4,Gyeonggi,Middle,2024-11-01,2024Q4,0,-45,-0.28,290.86
H084,2021-02-01,4,Gyeonggi,High,,,0,,-0.28,373.0
H085,2021-02-01,5,Seoul,High,2023-03-01,2023Q1,0,-25,-0.28,299.5
H086,2021-02-01,4,Gyeonggi,Low,2022-08-01,2022Q3,0,-18,-0.28,235.07
H087,2021-02-01,2,Daegu,Low,,,0,,-0.28,280.43
H088,2021-02-01,3,Seoul,High,2024-02-01,2024Q1,0,-36,-0.28,289.24
H089,2021-02-01,4,Seoul,High,2022-04-01,2022Q2,0,-14,-0.28,276.23
H090,2021-02-01,1,Seoul,Middle,2024-05-01,2024Q2,0,-39,-0.28,208.75
H091,2021-02-01,4,Gyeonggi,Middle,,,0,,-0.28,323.68
H092,2021-02-01,2,Busan,Low,2023-10-01,2023Q4,0,-32,-0.28,255.22
H093,2021-02-01,3,Daegu,Middle,,,0,,-0.28,245.85
H094,2021-02-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-44,-0.28,245.78
H095,2021-02-01,4,Seoul,Middle,,,0,,-0.28,255.34
H096,2021-02-01,2,Daegu,High,2023-11-01,2023Q4,0,-33,-0.28,239.16
H097,2021-02-01,4,Daegu,Middle,,,0,,-0.28,243.55
H098,2021-02-01,2,Daegu,Middle,,,0,,-0.28,216.9
H099,2021-02-01,3,Busan,High,,,0,,-0.28,257.05
H100,2021-02-01,2,Daegu,Middle,,,0,,-0.28,190.5
H101,2021-02-01,2,Daegu,High,,,0,,-0.28,225.62
H102,2021-02-01,2,Busan,Middle,,,0,,-0.28,207.64
H103,2021-02-01,2,Gyeonggi,Middle,,,0,,-0.28,193.77
H104,2021-02-01,3,Daegu,Middle,2023-04-01,2023Q2,0,-26,-0.28,251.5
H105,2021-02-01,3,Gyeonggi,Middle,,,0,,-0.28,220.1
H106,2021-02-01,3,Busan,Middle,,,0,,-0.28,258.52
H107,2021-02-01,2,Gyeonggi,Low,,,0,,-0.28,236.02
H108,2021-02-01,4,Gyeonggi,Low,,,0,,-0.28,289.27
H109,2021-02-01,2,Busan,High,2023-01-01,2023Q1,0,-23,-0.28,247.27
H110,2021-02-01,4,Gyeonggi,Low,,,0,,-0.28,311.47
H111,2021-02-01,3,Gyeonggi,Middle,2023-08-01,2023Q3,0,-30,-0.28,277.19
H112,2021-02-01,3,Busan,Low,2023-02-01,2023Q1,0,-24,-0.28,250.43
H113,2021-02-01,4,Daegu,Middle,2024-05-01,2024Q2,0,-39,-0.28,201.53
H114,2021-02-01,1,Gyeonggi,Low,,,0,,-0.28,173.97
H115,2021-02-01,3,Gyeonggi,High,2024-07-01,2024Q3,0,-41,-0.28,202.0
H116,2021-02-01,2,Seoul,Middle,,,0,,-0.28,262.87
H117,2021-02-01,5,Gyeonggi,Middle,2024-02-01,2024Q1,0,-36,-0.28,335.38
H118,2021-02-01,2,Daegu,Middle,,,0,,-0.28,230.08
H119,2021-02-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-15,-0.28,236.8
H120,2021-02-01,4,Gyeonggi,Middle,,,0,,-0.28,317.38
H001,2021-03-01,3,Seoul,Middle,2024-09-01,2024Q3,0,-42,3.41,212.62
H002,2021-03-01,1,Daegu,Low,2022-09-01,2022Q3,0,-18,3.41,186.29
H003,2021-03-01,3,Gyeonggi,Middle,,,0,,3.41,255.68
H004,2021-03-01,2,Seoul,High,2023-06-01,2023Q2,0,-27,3.41,230.5
H005,2021-03-01,2,Gyeonggi,High,2023-10-01,2023Q4,0,-31,3.41,234.44
H006,2021-03-01,2,Seoul,Middle,,,0,,3.41,276.38
H007,2021-03-01,5,Daegu,Low,,,0,,3.41,274.27
H008,2021-03-01,2,Gyeonggi,Middle,2022-05-01,2022Q2,0,-14,3.41,243.53
H009,2021-03-01,5,Gyeonggi,High,,,0,,3.41,242.65
H010,2021-03-01,2,Busan,Low,2024-11-01,2024Q4,0,-44,3.41,261.51
H011,2021-03-01,1,Gyeonggi,Middle,2024-12-01,2024Q4,0,-45,3.41,188.46
H012,2021-03-01,3,Busan,High,,,0,,3.41,254.79
H013,2021-03-01,2,Seoul,High,,,0,,3.41,264.6
H014,2021-03-01,3,Busan,Low,,,0,,3.41,264.91
H015,2021-03-01,4,Daegu,Low,,,0,,3.41,290.37
H016,2021-03-01,4,Daegu,High,2022-03-01,2022Q1,0,-12,3.41,286.05
H017,2021-03-01,3,Seoul,High,2024-07-01,2024Q3,0,-40,3.41,285.72
H018,2021-03-01,3,Daegu,Middle,,,0,,3.41,221.9
H019,2021-03-01,3,Seoul,Middle,,,0,,3.41,255.81
H020,2021-03-01,4,Busan,Low,,,0,,3.41,313.71
H021,2021-03-01,3,Busan,High,2024-05-01,2024Q2,0,-38,3.41,209.3
H022,2021-03-01,4,Gyeonggi,Low,,,0,,3.41,258.01
H023,2021-03-01,3,Seoul,Middle,2023-04-01,2023Q2,0,-25,3.41,249.85
H024,2021-03-01,1,Seoul,Low,,,0,,3.41,233.51
H025,2021-03-01,1,Gyeonggi,Low,2024-07-01,2024Q3,0,-40,3.41,166.86
H026,2021-03-01,5,Gyeonggi,Middle,2024-11-01,2024Q4,0,-44,3.41,263.41
H027,2021-03-01,2,Daegu,Low,,,0,,3.41,191.61
H028,2021-03-01,2,Gyeonggi,Low,,,0,,3.41,235.8
H029,2021-03-01,1,Seoul,High,2024-08-01,2024Q3,0,-41,3.41,225.41
H030,2021-03-01,2,Gyeonggi,Middle,,,0,,3.41,241.55
H031,2021-03-01,3,Gyeonggi,High,2023-06-01,2023Q2,0,-27,3.41,228.54
H032,2021-03-01,3,Daegu,High,2024-11-01,2024Q4,0,-44,3.41,243.22
H033,2021-03-01,1,Daegu,Middle,2024-08-01,2024Q3,0,-41,3.41,217.1
H034,2021-03-01,1,Gyeonggi,Low,2022-08-01,2022Q3,0,-17,3.41,213.52
H035,2021-03-01,4,Seoul,Low,,,0,,3.41,354.02
H036,2021-03-01,5,Gyeonggi,Low,,,0,,3.41,288.96
H037,2021-03-01,2,Daegu,High,2023-05-01,2023Q2,0,-26,3.41,263.6
H038,2021-03-01,3,Daegu,Low,2022-10-01,2022Q4,0,-19,3.41,278.84
H039,2021-03-01,4,Seoul,Middle,,,0,,3.41,333.56
H040,2021-03-01,4,Gyeonggi,Low,,,0,,3.41,298.13
H041,2021-03-01,4,Seoul,Middle,2024-04-01,2024Q2,0,-37,3.41,290.09
H042,2021-03-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-43,3.41,216.2
H043,2021-03-01,3,Busan,Low,2024-11-01,2024Q4,0,-44,3.41,192.36
H044,2021-03-01,2,Busan,High,,,0,,3.41,238.22
H045,2021-03-01,1,Seoul,Low,,,0,,3.41,179.15
H046,2021-03-01,4,Gyeonggi,Middle,2024-12-01,2024Q4,0,-45,3.41,296.65
H047,2021-03-01,2,Seoul,Middle,2022-05-01,2022Q2,0,-14,3.41,159.62
H048,2021-03-01,1,Seoul,Middle,2023-10-01,2023Q4,0,-31,3.41,166.94
H049,2021-03-01,2,Busan,Low,,,0,,3.41,196.65
H050,2021-03-01,4,Seoul,Low,,,0,,3.41,230.13
H051,2021-03-01,2,Seoul,Middle,2023-09-01,2023Q3,0,-30,3.41,265.0
H052,2021-03-01,4,Seoul,Low,,,0,,3.41,318.44
H053,2021-03-01,3,Gyeonggi,Middle,2022-01-01,2022Q1,0,-10,3.41,265.4
H054,2021-03-01,2,Seoul,High,2022-11-01,2022Q4,0,-20,3.41,196.6
H055,2021-03-01,1,Daegu,High,2022-03-01,2022Q1,0,-12,3.41,227.23
H056,2021-03-01,4,Seoul,Low,,,0,,3.41,262.29
H057,2021-03-01,4,Daegu,High,2024-02-01,2024Q1,0,-35,3.41,304.46
H058,2021-03-01,2,Seoul,High,2023-06-01,2023Q2,0,-27,3.41,238.88
H059,2021-03-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-14,3.41,223.98
H060,2021-03-01,2,Daegu,Middle,,,0,,3.41,136.11
H061,2021-03-01,2,Seoul,Low,,,0,,3.41,206.81
H062,2021-03-01,2,Seoul,Middle,2023-07-01,2023Q3,0,-28,3.41,203.71
H063,2021-03-01,3,Seoul,Middle,,,0,,3.41,253.33
H064,2021-03-01,1,Gyeonggi,Middle,2024-06-01,2024Q2,0,-39,3.41,193.23
H065,2021-03-01,3,Seoul,Middle,2023-12-01,2023Q4,0,-33,3.41,255.02
H066,2021-03-01,2,Gyeonggi,Low,,,0,,3.41,247.78
H067,2021-03-01,2,Gyeonggi,Middle,2023-04-01,2023Q2,0,-25,3.41,194.22
H068,2021-03-01,3,Busan,Middle,,,0,,3.41,248.91
H069,2021-03-01,2,Daegu,High,,,0,,3.41,241.93
H070,2021-03-01,2,Busan,Low,,,0,,3.41,189.47
H071,2021-03-01,2,Busan,Low,2023-10-01,2023Q4,0,-31,3.41,201.2
H072,2021-03-01,4,Seoul,Middle,,,0,,3.41,286.27
H073,2021-03-01,3,Daegu,Middle,2022-07-01,2022Q3,0,-16,3.41,230.28
H074,2021-03-01,2,Daegu,Low,2022-08-01,2022Q3,0,-17,3.41,262.39
H075,2021-03-01,1,Daegu,Middle,,,0,,3.41,242.04
H076,2021-03-01,4,Daegu,High,,,0,,3.41,327.38
H077,2021-03-01,4,Daegu,Middle,2024-08-01,2024Q3,0,-41,3.41,292.06
H078,2021-03-01,3,Busan,Middle,,,0,,3.41,202.86
H079,2021-03-01,2,Busan,Middle,2024-03-01,2024Q1,0,-36,3.41,217.03
H080,2021-03-01,4,Seoul,Middle,2023-07-01,2023Q3,0,-28,3.41,289.15
H081,2021-03-01,1,Daegu,Middle,2024-07-01,2024Q3,0,-40,3.41,181.47
H082,2021-03-01,3,Busan,Low,2023-09-01,2023Q3,0,-30,3.41,208.71
H083,2021-03-01,4,Gyeonggi,Middle,2024-11-01,2024Q4,0,-44,3.41,318.12
H084,2021-03-01,4,Gyeonggi,High,,,0,,3.41,371.07
H085,2021-03-01,5,Seoul,High,2023-03-01,2023Q1,0,-24,3.41,297.18
H086,2021-03-01,4,Gyeonggi,Low,2022-08-01,2022Q3,0,-17,3.41,260.59
H087,2021-03-01,2,Daegu,Low,,,0,,3.41,240.46
H088,2021-03-01,3,Seoul,High,2024-02-01,2024Q1,0,-35,3.41,260.51
H089,2021-03-01,4,Seoul,High,2022-04-01,2022Q2,0,-13,3.41,324.32
H090,2021-03-01,1,Seoul,Middle,2024-05-01,2024Q2,0,-38,3.41,186.04
H091,2021-03-01,4,Gyeonggi,Middle,,,0,,3.41,309.98
H092,2021-03-01,2,Busan,Low,2023-10-01,2023Q4,0,-31,3.41,236.82
H093,2021-03-01,3,Daegu,Middle,,,0,,3.41,248.56
H094,2021-03-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-43,3.41,242.59
H095,2021-03-01,4,Seoul,Middle,,,0,,3.41,279.62
H096,2021-03-01,2,Daegu,High,2023-11-01,2023Q4,0,-32,3.41,249.33
H097,2021-03-01,4,Daegu,Middle,,,0,,3.41,248.62
